Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,861.40625
1.001,0,1,1,4343.88312668135,874.986979166667
2.001,3,2,2,4670.85521859491,865.286458333333
3,11,3,3,4323.92494841726,884.299479166667
4.001,40,4,4,4737.71260272593,869.5546875
5.001,34,5,5,4664.14929751181,873.822916666667
6.001,21,6,6,4652.42255139334,882.747395833333
7,18,7,7,4355.51325126365,881.1953125
8.001,24,8,8,4531.69726621285,859.466145833333
9,16,9,9,4692.95079183043,884.299479166667
10,16,10,10,4454.60237870964,871.8828125
11,15,11,11,4219.71343654349,882.747395833333
12.001,16,12,12,4874.02013241371,886.239583333333
13.001,17,13,13,4615.37555590887,884.299479166667
14,26,14,14,4588.96361753194,862.182291666667
15.001,28,15,15,4750.00080084313,883.911458333333
15.999,31,16,16,4532.00518952926,869.5546875
17.001,34,17,17,4457.17040207831,873.046875
18,37,18,18,4600.93767109737,882.747395833333
19.001,32,19,19,4706.31476057086,871.8828125
20.001,35,20,20,4576.48514542114,872.658854166667
21.001,34,21,21,4487.3706149795,868.778645833333
22,39,22,22,4590.55291037651,868.778645833333
23.001,34,23,23,4215.95523712775,877.315104166667
24.001,38,24,24,4286.58284549798,871.494791666667
25,44,25,25,4328.74899154144,880.419270833333
26.001,40,26,26,4417.89590580953,872.658854166667
27.001,42,27,27,4693.51394017692,870.330729166667
28.001,63,28,28,4617.40145561607,879.643229166667
29.001,43,29,29,4578.3867300909,883.5234375
30,67,30,30,4325.33142013279,863.346354166667
31.001,63,31,31,4439.04715847199,881.1953125
32,72,32,32,4788.73104035032,868.390625
33.001,63,33,33,4712.92487984375,878.8671875
34.001,61,34,34,4838.20234970959,882.359375
35,64,35,35,4707.46230477354,887.015625
36.001,60,36,36,4060.627601808,863.734375
37,51,37,37,4148.95560617501,876.927083333333
38.001,58,38,38,4210.60550387863,880.807291666667
39,50,39,39,4675.84258683415,877.315104166667
40.001,45,40,40,4239.75303938045,870.330729166667
41.001,40,41,41,4334.2727431066,863.346354166667
42,41,42,42,4548.23796576421,885.463541666667
43,56,43,43,4653.84463839472,873.822916666667
44,39,44,44,4692.7514615277,877.315104166667
45,54,45,45,4365.19101456562,866.0625
46,54,46,46,3965.27867252826,878.091145833333
47,44,47,47,4649.54236976779,874.986979166667
48,58,48,48,4448.76682935534,873.434895833333
49.001,46,49,49,4593.72197249693,876.151041666667
50,66,50,50,4623.66001755108,875.375
51.001,58,51,51,4491.14126271001,875.375
51.999,67,52,52,4699.07123390038,877.703125
53.001,66,53,53,4767.98745020094,874.598958333333
54.001,72,54,54,4513.05289524046,868.390625
55,83,55,55,4723.07345733751,876.5390625
56.001,83,56,56,4539.87277942747,883.5234375
57.001,99,57,57,4802.29918323912,883.135416666667
58.001,104,58,58,4633.80254652749,888.1796875
59.001,98,59,59,4654.05709844317,876.151041666667
60,114,60,60,4701.3420810423,885.075520833333
61.001,124,61,61,4570.25547728118,874.2109375
62.001,117,62,62,4808.34901508901,886.239583333333
63,129,63,63,4747.96901073023,883.135416666667
64.001,135,64,64,4797.63438103863,872.658854166667
65,146,65,65,4595.80000064401,879.255208333333
66.001,163,66,66,4728.73084261676,879.643229166667
67,195,67,67,4759.06400605943,882.747395833333
68,175,68,68,4534.12786620761,880.807291666667
69.001,197,69,69,4181.34865421512,881.1953125
70,250,70,70,4762.77270400043,877.703125
71,303,71,71,4517.68316944744,887.403645833333
72,344,72,72,4540.2801154557,878.8671875
73.001,515,73,73,4775.0862423749,867.2265625
74,566,74,74,4703.90220844358,874.986979166667
75.001,660,75,75,4553.56063236421,889.34375
76,779,76,76,4491.93063178554,880.03125
77.001,850,77,77,4691.67911622437,873.434895833333
78.001,1049,78,78,4731.35726054014,876.927083333333
79.001,1030,79,79,4659.61464986846,879.255208333333
80.001,1260,80,80,4826.80853441056,862.958333333333
81,1353,81,81,4170.17096146151,887.403645833333
82,1360,82,82,4759.60637385203,883.135416666667
83.001,1521,83,83,4321.3176263991,871.8828125
84.001,1650,84,84,4796.20194441809,883.135416666667
85.001,1835,85,85,3814.76877294232,881.583333333333
86,2015,86,86,4618.81935294312,890.5078125
87.001,2187,87,87,4663.91120393013,874.598958333333
88.001,2393,88,88,4500.0244175759,881.971354166667
89,2571,89,89,4312.64309348783,890.5078125
90,2480,90,90,3708.43800591191,873.046875
91.001,2459,91,91,4535.29430820564,872.658854166667
92,2211,92,92,4715.95381966749,880.807291666667
93,2058,93,93,4656.26519313446,881.1953125
94.001,1822,94,94,4657.02780526063,874.598958333333
95,1553,95,95,4226.02407461442,869.5546875
96.001,1270,96,96,4618.03242282922,874.986979166667
97.001,985,97,97,4799.59729817498,877.315104166667
98.001,710,98,98,4293.68870766871,870.330729166667
99,521,99,99,4724.652682509,870.71875
100,406,100,100,4710.52590950303,883.135416666667
,260,101,101,,
,180,102,102,,
,155,103,103,,
,132,104,104,,
,66,105,105,,
,87,106,106,,
,84,107,107,,
,75,108,108,,
,61,109,109,,
,62,110,110,,
,68,111,111,,
,79,112,112,,
,62,113,113,,
,75,114,114,,
,70,115,115,,
,96,116,116,,
,93,117,117,,
,89,118,118,,
,76,119,119,,
,125,120,120,,
,141,121,121,,
,151,122,122,,
,140,123,123,,
,141,124,124,,
,167,125,125,,
,189,126,126,,
,209,127,127,,
,215,128,128,,
,204,129,129,,
,269,130,130,,
,271,131,131,,
,289,132,132,,
,347,133,133,,
,378,134,134,,
,393,135,135,,
,521,136,136,,
,556,137,137,,
,672,138,138,,
,808,139,139,,
,908,140,140,,
,1077,141,141,,
,1431,142,142,,
,1715,143,143,,
,2098,144,144,,
,2583,145,145,,
,3163,146,146,,
,3877,147,147,,
,4827,148,148,,
,5698,149,149,,
,6970,150,150,,
,8563,151,151,,
,9940,152,152,,
,11859,153,153,,
,13678,154,154,,
,15655,155,155,,
,17521,156,156,,
,19315,157,157,,
,21364,158,158,,
,22855,159,159,,
,24008,160,160,,
,24455,161,161,,
,23240,162,162,,
,22230,163,163,,
,20510,164,164,,
,19047,165,165,,
,17134,166,166,,
,14760,167,167,,
,12409,168,168,,
,10302,169,169,,
,7997,170,170,,
,6422,171,171,,
,4725,172,172,,
,3526,173,173,,
,2618,174,174,,
,1904,175,175,,
,1290,176,176,,
,914,177,177,,
,606,178,178,,
,403,179,179,,
,252,180,180,,
,194,181,181,,
,147,182,182,,
,84,183,183,,
,85,184,184,,
