MIN=0	0	0	0	0	0	0
MAX=100	21544.3469003189	511	511	1000	100	2000
SCALE=100	5	100	500	500	50	500
DEC=0	0	0	1	0	0	0
DEF="Time" t / s	"Events" N	"Channel" n	"Energy" E / keV	"Rate" R / 1/s	"Dead time" t / %	"Voltage" U / V
0	0	0	0			628.59375
1.001	0	1	1	2025.63481626815	14.179443713877	649.158854166667
2	0	2	2	2187.59183247202	15.3131428273041	645.278645833333
3.001	0	3	3	2143.01648112919	15.0011153679043	645.278645833333
4.001	286	4	4	2199.77606279681	15.3984324395777	644.502604166667
5.001	677	5	5	1716.92909082855	12.0185036357998	646.830729166667
6.002	755	6	6	2156.10306292758	15.0927214404931	640.234375
7.001	443	7	7	2126.46617994441	14.8852632596108	646.442708333333
8	217	8	8	2130.56033736873	14.9139223615811	643.7265625
9	107	9	9	2157.95808963289	15.1057066274303	642.950520833333
10.001	105	10	10	2129.6919369103	14.9078435583721	646.830729166667
11	115	11	11	2171.10051305744	15.1977035914021	646.442708333333
12.001	123	12	12	2118.53339447092	14.8297337612964	642.174479166667
13	146	13	13	2155.13699831719	15.0859589882204	651.875
14.001	146	14	14	2166.22810381933	15.1635967267353	642.5625
15.001	160	15	15	2229.205777405	15.604440441835	648.3828125
16.001	161	16	16	2204.39784364724	15.4307849055307	645.666666666667
17.001	188	17	17	2168.50407442602	15.1795285209822	646.830729166667
18.001	214	18	18	2199.17457647563	15.3942220353294	641.786458333333
19	254	19	19	2148.45251431154	15.0391676001808	649.158854166667
20.001	279	20	20	2187.46319413055	15.3122423589139	639.458333333333
21.001	278	21	21	1758.64740474049	12.3105318331834	644.114583333333
22	330	22	22	2151.09538201162	15.0576676740813	645.278645833333
23.001	423	23	23	2178.10383960186	15.246726877213	647.606770833333
24.001	756	24	24	2084.07085840919	14.5884960088643	642.5625
25	1505	25	25	2208.09005097711	15.4566303568398	650.7109375
26	3781	26	26	2198.24046709558	15.3876832696691	644.890625
27	8092	27	27	2106.64302545049	14.7465011781534	647.994791666667
28	12711	28	28	2008.4834658879	14.0593842612153	646.442708333333
29.001	13930	29	29	2168.45844289295	15.1792091002506	645.278645833333
30	10772	30	30	2171.61247735608	15.2012873414926	638.294270833333
31	6590	31	31	2164.96909207163	15.1547836445014	650.322916666667
32.001	4149	32	32	2141.06444603983	14.9874511222788	647.994791666667
33.001	2512	33	33	2209.06476921876	15.4634533845313	652.263020833333
34.001	1347	34	34	2069.55640362364	14.4868948253655	645.666666666667
35.001	663	35	35	2176.11815971105	15.2328271179774	642.174479166667
36	371	36	36	2158.51882438271	15.109631770679	649.934895833333
37.001	296	37	37	2124.61868896223	14.8723308227356	647.606770833333
38.001	249	38	38	2126.06275382303	14.8824392767612	646.0546875
39.001	297	39	39	2159.84774974991	15.1189342482494	640.622395833333
40.001	357	40	40	2173.29541762561	15.2130679233792	651.875
41	435	41	41	2151.78396089033	15.0624877262323	653.815104166667
42.001	458	42	42	2177.61131149085	15.243279180436	649.546875
43.001	534	43	43	2137.72765994042	14.9640936195829	643.338541666667
44.001	543	44	44	2122.75240675802	14.8592668473061	648.770833333333
45.001	578	45	45	2125.30689431554	14.8771482602088	637.90625
46.001	553	46	46	2138.57934174328	14.970055392203	649.934895833333
47.001	507	47	47	2144.24424153745	15.0097096907621	643.7265625
48.001	419	48	48	2111.24480773227	14.7787136541259	644.890625
49.001	350	49	49	1791.17637423926	12.5382346196748	640.234375
50.001	326	50	50	2142.27336939975	14.9959135857982	635.966145833333
51.001	294	51	51	2068.70089588967	14.4809062712277	645.278645833333
52	327	52	52	2140.28685641944	14.9820079949361	643.7265625
53	335	53	53	2175.8983855454	15.2312886988178	655.755208333333
54	365	54	54	2073.18498542993	14.5122948980095	642.174479166667
55.001	408	55	55	2162.88473776048	15.1401931643234	649.546875
56.001	401	56	56	2186.32314411256	15.3042620087879	643.7265625
57	452	57	57	2189.76228913817	15.3283360239672	641.3984375
58.001	512	58	58	2152.95800098849	15.0707060069195	640.234375
59	633	59	59	2110.74671039475	14.7752269727633	650.322916666667
60.001	866	60	60	2161.35149308863	15.1294604516204	645.278645833333
61.001	1144	61	61	2206.85751819269	15.4480026273488	648.770833333333
62	1632	62	62	2234.51746080763	15.6416222256534	635.966145833333
63	2284	63	63	2110.63668688694	14.7744568082086	652.651041666667
64.001	3031	64	64	2198.47669992214	15.389336899455	646.0546875
65.001	3759	65	65	2156.58543528194	15.0960980469736	646.0546875
66.001	4094	66	66	2156.17946620444	15.0932562634311	644.114583333333
67.001	3960	67	67	2130.13045690688	14.9109131983482	638.294270833333
68.001	3292	68	68	2123.50697176387	14.8645488023471	638.682291666667
69	2444	69	69	2160.29833930192	15.1220883751134	640.234375
70.001	1616	70	70	2170.41450809415	15.192901556659	649.546875
71.001	894	71	71	2124.24929030081	14.8697450321056	642.950520833333
72	545	72	72	2120.01991479339	14.8401394035537	648.3828125
73.001	342	73	73	2125.70325683171	14.879922797822	637.130208333333
74	237	74	74	2128.28256483375	14.8979779538363	644.502604166667
75	231	75	75	2194.56605010763	15.3619623507534	637.130208333333
76.001	177	76	76	2114.77644005901	14.8034350804131	641.786458333333
77	198	77	77	2075.33152970463	14.5273207079324	649.934895833333
78.001	170	78	78	2186.01536361351	15.3021075452946	644.502604166667
79.001	189	79	79	2134.71320768269	14.9429924537788	644.890625
80.001	205	80	80	2147.12354416927	15.0298648091849	640.622395833333
81	206	81	81	2206.41685124762	15.4449179587333	645.278645833333
82	183	82	82	2176.29205219542	15.2340443653679	647.606770833333
