Channel_num,Energy,Uncert
50.80540661,59.54,0.03387096
94.27791338,122,0.13442197
412.9729741,662,0.09309329
28.89546869,30.85,0.04954051
65.99264669,81,0.10877702
238.9042927,356,0.09255769
323.8246734,511,0.18459243
